z_um,width_um
1.883429962176959460e+00,4.597259392683405999e-03
1.887044341097488642e+00,3.614378920529129607e-03
1.890699964858783444e+00,3.655623761294881074e-03
1.895453009410454248e+00,4.753044551670896137e-03
1.899088842206574590e+00,3.635832796120304529e-03
1.902708947241875004e+00,3.620105035300468042e-03
1.907420877382692392e+00,4.711930140817445836e-03
1.911135467115262720e+00,3.714589732570228349e-03
1.914746240760856200e+00,3.610773645593522933e-03
1.918428092050635358e+00,3.681851289779130686e-03
1.923165660028166801e+00,4.737567977531350824e-03
1.926791300340711777e+00,3.625640312545067370e-03
1.930419037908313262e+00,3.627737567601492085e-03
1.935162062611912592e+00,4.743024703599356927e-03
1.938836718556586458e+00,3.674655944673924785e-03
1.942446734295241617e+00,3.610015738655194574e-03
1.946174279119039285e+00,3.727544823797695594e-03
1.950877321263543740e+00,4.703042144504507478e-03
1.954491654248594168e+00,3.614332985050409779e-03
1.958127957203343650e+00,3.636302954749409851e-03
1.962888850222904935e+00,4.760893019561221115e-03
1.966542599585384909e+00,3.653749362479865107e-03
1.970150998367613093e+00,3.608398782228249262e-03
1.973974628411543586e+00,3.823630043930548606e-03
1.978580167260084677e+00,4.605538848541155042e-03
1.982189482285567017e+00,3.609315025482230134e-03
1.985788729821625243e+00,3.599247536058140448e-03
1.990651218466747086e+00,4.862488645121761446e-03
1.994247706872978476e+00,3.596488406231407135e-03
1.997824792664969040e+00,3.577085791990599652e-03
2.002661813241356725e+00,4.837020576387789962e-03
2.006304838276013136e+00,3.643025034656345758e-03
2.009882344650617547e+00,3.577506374604378162e-03
2.013501762405791595e+00,3.619417755174106181e-03
2.018355418745697794e+00,4.853656339906106329e-03
2.021942906931629924e+00,3.587488185932153576e-03
2.025530080061708649e+00,3.587173130078711615e-03
2.030383942951978327e+00,4.853862890269788032e-03
2.034001770675784915e+00,3.617827723806431132e-03
2.037579486346768221e+00,3.577715670983187823e-03
2.041222862575671648e+00,3.643376228903532233e-03
2.046056818079078798e+00,4.833955503407180547e-03
2.049637736789073905e+00,3.580918709995151855e-03
2.053232740639877818e+00,3.595003850803834763e-03
2.058097045215185883e+00,4.864304575307912271e-03
2.061700185513729799e+00,3.603140298543874420e-03
2.065277348386391765e+00,3.577162872661823062e-03
2.070079581692784387e+00,4.802233306392707582e-03
2.073757798319292966e+00,3.678216626508764350e-03
2.077335849895256548e+00,3.578051575963541679e-03
2.080940644347475832e+00,3.604794452219294704e-03
2.085802848654660924e+00,4.862204307185186321e-03
2.089395571590842327e+00,3.592722936181239318e-03
2.092976838872563139e+00,3.581267281720675825e-03
2.097814824818879487e+00,4.837985946316560211e-03
2.101457353543259021e+00,3.642528724379572296e-03
2.105031633607918007e+00,3.574280064658852916e-03
2.108650630002465665e+00,3.618996394547651253e-03
2.113506522730418613e+00,4.855892727952931982e-03
2.117093846726139095e+00,3.587323995720392757e-03
2.120679640189161219e+00,3.585793463022156086e-03
