z_um,fw_amp,sh_amp,th_amp
1.018881695508957019e+00,3.158616704077442439e+00,1.521200722630589308e-01,1.838853842880072508e-05
1.022846215724945163e+00,3.158588074860568806e+00,1.527133687951223728e-01,1.844860824877284824e-05
1.026810735940933306e+00,3.158559334463826307e+00,1.533066545533438574e-01,1.848217250328479253e-05
1.030775256156921449e+00,3.158530482892097258e+00,1.538999294883759972e-01,1.858462874926748444e-05
1.034739776372909592e+00,3.158501520150620134e+00,1.544931935648200250e-01,1.867794468439356139e-05
1.038704296588897735e+00,3.158472446244611209e+00,1.550864467454572959e-01,1.870712764011199671e-05
1.042668816804885878e+00,3.158443261178984329e+00,1.556796889800688699e-01,1.877854361408819127e-05
1.046633337020874022e+00,3.158413964958886488e+00,1.562729202269796946e-01,1.889227701672697873e-05
1.050597857236862165e+00,3.158384557589693831e+00,1.568661404531087322e-01,1.894191764881561176e-05
1.054562377452850308e+00,3.158355039076483184e+00,1.574593496123985747e-01,1.898231344659867547e-05
1.058526897668838451e+00,3.158325409424300290e+00,1.580525476569103471e-01,1.909161389859159291e-05
1.062491417884826594e+00,3.158295668638559484e+00,1.586457345526609830e-01,1.917450755882056112e-05
1.066455938100814738e+00,3.158265816724563191e+00,1.592389102603465056e-01,1.920216337591907941e-05
1.070420458316802881e+00,3.158235853687350492e+00,1.598320747294643129e-01,1.928474362969349802e-05
1.074384978532791246e+00,3.158205779532260671e+00,1.604252279206263565e-01,1.939416570439487475e-05
1.078349498748779389e+00,3.158175594264789332e+00,1.610183697999086894e-01,1.943481835543122492e-05
1.082314018964767532e+00,3.158145297890100345e+00,1.616115003194579791e-01,1.948410697763438082e-05
1.086278539180755676e+00,3.158114890413418863e+00,1.622046194331615288e-01,1.959773780244975598e-05
1.090243059396743819e+00,3.158084371840323090e+00,1.627977271079444066e-01,1.966945012534992765e-05
1.094207579612731962e+00,3.158053742176194056e+00,1.633908233022633716e-01,1.969848069447690582e-05
1.098172099828720105e+00,3.158023001426210286e+00,1.639839079659207721e-01,1.979148296112131849e-05
1.102136620044708248e+00,3.157992149595900688e+00,1.645769810616667106e-01,1.989407721684554066e-05
1.106101140260696392e+00,3.157961186690869226e+00,1.651700425542241835e-01,1.992777727967794260e-05
1.110065660476684535e+00,3.157930112716373028e+00,1.657630923943575196e-01,1.998742810658050338e-05
1.114030180692672678e+00,3.157898927677825984e+00,1.663561305380782396e-01,2.010258828645794719e-05
1.117994700908660821e+00,3.157867631580958179e+00,1.669491569526535546e-01,2.016309804190815242e-05
1.121959221124648964e+00,3.157836224431224803e+00,1.675421715942965462e-01,2.019631428952684235e-05
1.125923741340637108e+00,3.157804706233958481e+00,1.681351744136845294e-01,2.029830264196640685e-05
1.129888261556625473e+00,3.157773076994876416e+00,1.687281653754167665e-01,2.039200378696478464e-05
1.133852781772613616e+00,3.157741336719673608e+00,1.693211444424440604e-01,2.042124680206102320e-05
1.137817301988601759e+00,3.157709485413714212e+00,1.699141115646553846e-01,2.049203912845914280e-05
1.141781822204589902e+00,3.157677523082608850e+00,1.705070667003451002e-01,2.060582640630895146e-05
